modelId,fileName,recall,precision,simplicity,generality,f1Score,quality
"57694852-1d78-41b8-be71-c0013a63b656","model_3_auto.bpmn",0.794200,1.000000,0.866700,0.821300,0.863835,0.885297
"ec8371ba-5779-4e39-bdeb-b7f164244409","model_2_auto.bpmn",0.766700,1.000000,0.818200,0.743900,0.821228,0.867946
"dc888c4c-88e7-435f-8ac9-82b380592ecd","model_1_auto.bpmn",0.806100,1.000000,0.882400,0.836900,0.875523,0.892642
